probe	gene
A_23_P143143	ID2
A_23_P143178	LBP
A_23_P143199	STK4
A_23_P143218	ACOT8
A_23_P143331	BMP2
A_23_P143474	ATP5O
A_23_P143484	PIGP
A_23_P143551	ATP6V1E1
A_23_P143559	CLTCL1
A_23_P143662	PISD
A_23_P143720	GRAP2
A_23_P143734	CYP2D6
A_23_P143817	MYLK
A_23_P14389	ACIN1
A_23_P143935	PIGZ
A_23_P143987	ATG7
A_23_P144054	PRKCD
A_23_P144096	CISH
A_23_P144113	GNAI2
A_23_P144179	CPOX
A_23_P144188	SLC33A1
A_23_P144224	TLOC1
A_23_P144311	POLR2B
A_23_P144348	SLIT2
A_23_P144384	GALNT7
A_23_P144458	CAMK2D
A_23_P144465	PAPSS1
A_23_P144476	SPRY1
A_23_P144497	RPS3A
A_23_P144512	GK2
A_23_P144549	IBSP
A_23_P144578	GNPDA2
A_23_P144622	GNPDA1
A_23_P144668	CMBL
A_23_P144718	F2RL2
A_23_P144778	CKMT2
A_23_P144816	VDAC1
A_23_P144866	GM2A
A_23_P144872	GM2A
A_23_P144916	GFPT2
A_23_P144944	SMAD5
A_23_P144959	VCAN
A_23_P144980	PIK3R1
A_23_P145	HMGCL
A_23_P145024	ADRB2
A_23_P145089	HSP90AB1
A_23_P145096	PLA2G7
A_23_P145114	GCLC
A_23_P14515	ACOT4
A_23_P1452	NPFFR1
A_23_P145238	HIST1H2BK
A_23_P145264	HLA-F
A_23_P145336	HLA-DRB3
A_23_P145357	BAK1
A_23_P145376	MAPK13
A_23_P145408	FUCA2
A_23_P145480	OPRM1
A_23_P145485	ULBP2
A_23_P145514	IL20RA
A_23_P145584	UBE2H
A_23_P14559	RIPK3
A_23_P145606	CHRM2
A_23_P145644	DDC
A_23_P145657	STAG3
A_23_P145669	EPO
A_23_P145694	ASNS
A_23_P145724	C7orf16
A_23_P145777	NDUFA4
A_23_P145844	MET
A_23_P145846	MET
A_23_P145904	H2AFV
A_23_P145930	PPP1R3A
A_23_P145935	EPHB6
A_23_P145957	TPK1
A_23_P145978	VIPR2
A_23_P145995	GPR37
A_23_P146058	ATP6V1C1
A_23_P146084	GSR
A_23_P14612	FGF7
A_23_P146146	ATP6V0D2
A_23_P146198	CYP7A1
A_23_P146233	LPL
A_23_P146284	SQLE
A_23_P146339	GPT
A_23_P146354	POMT1
A_23_P146361	POMT1
A_23_P146456	CTSL2
A_23_P146468	VAV2
A_23_P146539	IFNA8
A_23_P146554	PTGDS
A_23_P146576	GBGT1
A_23_P146654	BAG1
A_23_P146728	ALG2
A_23_P146798	SEPHS2
A_23_P146830	SLC25A10
A_23_P146885	UTS2R
A_23_P146908	STX8
A_23_P146943	ATP1B1
A_23_P146990	WWP1
A_23_P147046	EPHA3
A_23_P14716	ADPGK
A_23_P147166	CACNA2D3
A_23_P147185	CANX
A_23_P1473	PRF1
A_23_P14734	RPS27L
A_23_P147383	GPAA1
A_23_P147397	DYNC2H1
A_23_P147431	LYN
A_23_P147465	PARK2
A_23_P147479	DNAJC6
A_23_P147647	SGCD
A_23_P14769	FES
A_23_P147711	NPR1
A_23_P14774	CTSH
A_23_P147805	UPP1
A_23_P147839	EPHA5
A_23_P147888	RPLP2
A_23_P147950	HGSNAT
A_23_P14798	NEO1
A_23_P147984	TRIP12
A_23_P148015	AXIN2
A_23_P148047	PTGER4
A_23_P148088	FGG
A_23_P148162	ADI1
A_23_P148194	ADI1
A_23_P14821	GABRB3
A_23_P148327	CACNA1F
A_23_P14841	CSNK1G1
A_23_P148422	PCYT1B
A_23_P148446	UBE2A
A_23_P148463	CUL4B
A_23_P148473	IL2RG
A_23_P148513	GNG5
A_23_P148556	ABCD1
A_23_P14876	SRP14
A_23_P148768	F5
A_23_P148807	CDC7
A_23_P14886	GNPTG
A_23_P148879	ATP1A2
A_23_P148919	CPT2
A_23_P148984	DARS2
A_23_P149042	PYCR2
A_23_P149084	GRIK3
A_23_P149099	DDOST
A_23_P14915	CSNK2A2
A_23_P149200	CDC20
A_23_P149206	B4GALT2
A_23_P149281	EPHA2
A_23_P149301	HIST3H2A
A_23_P149390	CGN
A_23_P14946	MBTPS1
A_23_P149470	NDUFS2
A_23_P14948	MBTPS1
A_23_P149517	PIGR
A_23_P149545	HIST2H2BE
A_23_P149613	FMO1
A_23_P149649	SDHB
A_23_P149678	PIAS3
A_23_P149690	PANK4
A_23_P149834	POLR3A
A_23_P14986	HSD11B2
A_23_P149892	GALNACT-2
A_23_P149926	AKR1C4
A_23_P150018	DUSP5
A_23_P150053	ACTA2
A_23_P150092	SEPHS1
A_23_P150147	SSH3
A_23_P150162	DRD4
A_23_P150189	MRE11A
A_23_P150207	BAD
A_23_P150286	PSMA1
A_23_P150407	CREB3L1
A_23_P150428	OR6M1
A_23_P150467	OR5I1
A_23_P1505	LRP5
A_23_P150595	TPH1
A_23_P150718	RHOG
A_23_P150857	SUOX
A_23_P150876	VPS37B
A_23_P15090	DNAJA2
A_23_P150903	MLSTD1
A_23_P151046	KLRC1
A_23_P151075	ARHGDIB
A_23_P151093	YARS2
A_23_P151264	GRIN2B
A_23_P151294	IFNG
A_23_P151307	RAPGEF3
A_23_P151321	RPL6
A_23_P151426	FOXO1
A_23_P151436	ALG5
A_23_P151471	CUL4A
A_23_P151610	PSME1
A_23_P151614	PSME1
A_23_P151649	APEX1
A_23_P151653	APEX1
A_23_P151662	MAX
A_23_P151679	PPM1A
A_23_P151700	SOCS4
A_23_P151710	PTGER2
A_23_P151778	CMA1
A_23_P151791	LTB4R
A_23_P151870	GLCE
A_23_P15202	DHODH
A_23_P152024	CSK
A_23_P152107	UBE2I
A_23_P152115	NME3
A_23_P152125	MVD
A_23_P152218	E2F4
A_23_P1523	RHOD
A_23_P152322	COQ7
A_23_P152462	STX1B2
A_23_P152487	KARS
A_23_P152505	ABAT
A_23_P152516	H3F3B
A_23_P152527	AANAT
A_23_P152583	FLJ21865
A_23_P152620	TNFSF13
A_23_P152651	DDX42
A_23_P152655	ICAM2
A_23_P152666	COX11
A_23_P15272	ABCC6
A_23_P152804	NME1
A_23_P152838	CCL5
A_23_P152906	ALOX12
A_23_P152909	ALOX12
A_23_P152926	GP1BA
A_23_P152984	THOC4
A_23_P153026	GAA
A_23_P153084	RALBP1
A_23_P153155	GALR1
A_23_P153236	CHMP2A
A_23_P153251	ZNF274
A_23_P15326	TRIM25
A_23_P153266	TOMM40
A_23_P153311	TYK2
A_23_P153320	ICAM1
A_23_P153351	BLVRB
A_23_P153383	RPL36
A_23_P153549	GRIN2D
A_23_P153562	C5AR1
A_23_P153583	PPP5C
A_23_P153586	UQCRFS1
A_23_P153616	MADCAM1
A_23_P153692	XRCC1
A_23_P153745	IFI30
A_23_P153757	LSM4
A_23_P153853	ECH1
A_23_P153878	FGF22
A_23_P153889	PGLS
A_23_P153897	GNG7
A_23_P153930	ACVR2A
A_23_P15394	CD68
A_23_P153964	INHBB
A_23_P153971	SGPP2
A_23_P15402	SAT2
A_23_P154025	SSB
A_23_P154037	AOX1
A_23_P154065	TUBA4A
A_23_P154070	TUBA4A
A_23_P154108	DYNC1I2
A_23_P154130	MAP4K3
A_23_P154208	NAGK
A_23_P154217	ITGB6
A_23_P154234	POLE4
A_23_P154245	GPR35
A_23_P154306	TANK
A_23_P154345	HIBCH
A_23_P154349	HIBCH
A_23_P154488	PNPT1
A_23_P154500	DNMT3A
A_23_P154539	PRPF6
A_23_P154675	SNRPB
A_23_P154698	CDS2
A_23_P154708	HAO1
A_23_P15478	NTN1
A_23_P154806	EPB41L1
A_23_P154832	ATP5J
A_23_P154840	SOD1
A_23_P154875	BACE2
A_23_P154929	BID
A_23_P154986	GGT1
A_23_P155103	ADSL
A_23_P15511	DDX5
A_23_P155123	CYP2D6
A_23_P155179	AK024035
A_23_P155197	PTPLB
A_23_P1552	CTSC
A_23_P155229	SSR3
A_23_P155316	NCBP2
A_23_P155335	PLD1
A_23_P155351	BTD
A_23_P15542	HSD17B1
A_23_P155441	RFT1
A_23_P155487	SLC38A3
A_23_P155596	FMO3
A_23_P155601	FMO3
A_23_P155624	AP2M1
A_23_P155632	CD80
A_23_P155638	MYL3
A_23_P155660	PPP2R2C
A_23_P155677	HIP2
A_23_P155711	NEIL3
A_23_P155755	CXCL6
A_23_P155786	SULT1E1
A_23_P155796	GNRHR
A_23_P155804	GNRHR
A_23_P15582	XYLT2
A_23_P155835	CYP2U1
A_23_P155837	CYP2U1
A_23_P155848	DKK2
A_23_P155900	NPFFR2
A_23_P155979	EGF
A_23_P156049	HEXB
A_23_P156061	LNPEP
A_23_P156076	AGXT2
A_23_P156087	GHR
A_23_P156117	CYFIP2
A_23_P156261	GLRA1
A_23_P156289	OSMR
A_23_P156310	SKP2
A_23_P156402	NME5
A_23_P156425	MAN1A1
A_23_P156431	MAN1A1
A_23_P15647	NLK
A_23_P156471	CDC5L
A_23_P156497	ELOVL5
A_23_P156531	PSMB1
A_23_P15654	TRAF4
A_23_P156683	LTA
A_23_P156687	CFB
A_23_P156708	TNXB
A_23_P156784	MCHR2
A_23_P156788	STX11
A_23_P156824	HTR1B
A_23_P156852	PECI
A_23_P156873	ULBP1
A_23_P156880	ENPP1
A_23_P156928	GPLD1
A_23_P156953	IGF2R
A_23_P156993	CNOT4
A_23_P15705	PSMB6
A_23_P157051	AP4M1
A_23_P157109	ADCYAP1R1
A_23_P157117	CREB5
A_23_P157136	SCIN
A_23_P15714	NSF
A_23_P157240	IMPDH1
A_23_P157333	EPHA1
A_23_P157449	POLR2K
A_23_P157452	POLR2K
A_23_P157478	ATP6V1H
A_23_P157495	PPP3CC
A_23_P15751	GCGR
A_23_P157513	MOS
A_23_P157545	NKX3-1
A_23_P157593	CHRNA6
A_23_P157669	NDUFB9
A_23_P157695	AA609749
A_23_P157793	CA9
A_23_P157865	TNC
A_23_P157920	IFNA14
A_23_P157943	MAN1B1
A_23_P158041	AQP7
A_23_P158190	LDLRAP1
A_23_P158239	SHMT2
A_23_P15829	TOP3A
A_23_P158330	UGT1A8
A_23_P158406	PDE4D
A_23_P158461	RFC1
A_23_P158481	CYP2C19
A_23_P158484	CYP2C19
A_23_P158570	ACADSB
A_23_P158593	COL5A1
A_23_P158675	KCNMB2
A_23_P158708	DCC
A_23_P158811	PRKG1
A_23_P158829	ARRB2
A_23_P158897	BE531123
A_23_P158938	AP3M1
A_23_P158976	ABCC2
A_23_P159191	GAST
A_23_P159255	PTPRM
A_23_P159325	ANGPTL4
A_23_P159335	CD8B
A_23_P159355	POLE
A_23_P15937	SMAD2
A_23_P159382	SEC24D
A_23_P159395	AXIN2
A_23_P1594	VEGFB
A_23_P159424	ACYP2
A_23_P159622	CACNA1B
A_23_P159650	COX7B
A_23_P159671	PHKA2
A_23_P159721	GPR50
A_23_P159797	PNPLA4
A_23_P159833	NDUFA1
A_23_P159839	C1GALT1C1
A_23_P159865	UPRT
A_23_P159920	IKBKG
A_23_P159974	KLHL13
A_23_P160154	GALE
A_23_P160177	ATP1A4
A_23_P160188	PEX19
A_23_P160240	ACP6
A_23_P160336	LEFTY1
A_23_P160354	AKT3
A_23_P160359	EPB41
A_23_P160377	DNALI1
A_23_P160460	UAP1
A_23_P160582	HYI
A_23_P160618	SH2D2A
A_23_P16063	GRIK5
A_23_P160729	AP4B1
A_23_P16078	PAFAH1B3
A_23_P160787	PEX14
A_23_P160849	FCER1G
A_23_P160862	HNRPU
A_23_P160886	TAS1R1
A_23_P16089	EDG5
A_23_P160890	TAS1R1
A_23_P160940	ABCA4
A_23_P160968	LAMC2
A_23_P160992	FMO4
A_23_P161004	NR5A2
A_23_P161076	CD2
A_23_P161098	ELK4
A_23_P161135	LEPR
A_23_P161152	PDSS1
A_23_P161171	ASAH2
A_23_P161197	SEC61A2
A_23_P16122	CYP2A6
A_23_P161269	GALNACT-2
A_23_P161297	OGDHL
A_23_P16132	CHERP
A_23_P161338	PPA1
A_23_P161352	PTPLA
A_23_P161368	CYP2C8
A_23_P161386	SLIT1
A_23_P16139	CHERP
A_23_P16143	GTF2F1
A_23_P161458	OLAH
A_23_P161552	ZNF289
A_23_P161615	POLA2
A_23_P161624	FOSL1
A_23_P161628	MUS81
A_23_P161634	MUS81
A_23_P161647	PC
A_23_P161769	FXYD2
A_23_P161837	MRVI1
A_23_P16189	PRKCG
A_23_P162010	CCKBR
A_23_P162037	ARNTL
A_23_P162068	SLC1A2
A_23_P162199	PIP5K2C
A_23_P162238	RAB5B
A_23_P16225	BEST2
A_23_P162300	IRAK3
A_23_P162314	DHH
A_23_P162322	WNT10B
A_23_P162336	CNOT2
A_23_P162449	SRGAP1
A_23_P162466	PKP2
A_23_P162486	PTPN6
A_23_P162547	MYL2
A_23_P162640	GABARAPL1
A_23_P162660	GPD1
A_23_P162679	EIF4B
A_23_P162719	DIAPH3
A_23_P162746	CRYL1
A_23_P162787	SUGT1
A_23_P162795	SUGT1
A_23_P162822	EXOSC8
A_23_P16283	CPT1C
A_23_P162846	LAMP1
A_23_P162866	HSP90AA1
A_23_P162874	HSP90AA1
A_23_P162945	SRP54
A_23_P162982	DHRS4
A_23_P163006	HNRPC
A_23_P163025	RNASE3
A_23_P163027	PARP2
A_23_P163079	GCH1
A_23_P163099	POLE2
A_23_P163143	ACYP1
A_23_P163166	LTB4R2
A_23_P163173	LTB4R2
A_23_P163178	CALM1
A_23_P163227	CKMT1B
A_23_P163235	CKMT1B
A_23_P163336	CA12
A_23_P163338	CA12
A_23_P163347	PIAS1
A_23_P163353	PIAS1
A_23_P16337	SAE1
A_23_P163380	MTHFS
A_23_P163390	CHRNA7
A_23_P163402	CYP1A1
A_23_P163428	PPCDC
A_23_P163458	EHD4
A_23_P163481	BUB1B
A_23_P163506	CYBA
A_23_P163567	SMPD3
A_23_P163647	DCI
A_23_P163732	GGA2
A_23_P163737	OR2C1
A_23_P163787	MMP2
A_23_P163850	CREBBP
A_23_P163955	PEMT
A_23_P164035	PSMC5
A_23_P164042	ERN1
A_23_P164081	MYH10
A_23_P164141	PSME3
A_23_P164228	ATP5G1
A_23_P164258	PIPOX
A_23_P164284	CLDN7
A_23_P164341	VAMP2
A_23_P16438	DLL3
A_23_P164436	ASPA
A_23_P164507	YES1
A_23_P16451	UBXD1
A_23_P164536	PIK3C3
A_23_P164650	APOE
A_23_P16469	PLAUR
A_23_P164691	ICAM3
A_23_P164718	SNRPA
A_23_P164733	NUMBL
A_23_P164773	FCER2
A_23_P164826	RNASEH2A
A_23_P16483	STK11
A_23_P164999	CDC34
A_23_P165028	DAPK3
A_23_P165086	NDUFS7
A_23_P165090	NDUFS7
A_23_P165180	RFXANK
A_23_P165201	PRODH2
A_23_P165280	POLR2E
A_23_P165301	RPE
A_23_P165346	FARSB
A_23_P165355	FARSB
A_23_P165372	GALNT13
A_23_P165402	SF3B14
A_23_P165608	SEMA4F
A_23_P165691	PSMD14
A_23_P165722	EIF4E2
A_23_P165788	PHOSPHO2
A_23_P165840	ODC1
A_23_P166068	IDH3B
A_23_P166122	POLR3F
A_23_P166135	XRN2
A_23_P16615	HNRPM
A_23_P166193	EDEM2
A_23_P16630	OR7A5
A_23_P166306	CBS
A_23_P166333	UFD1L
A_23_P166353	UBE2L3
A_23_P166376	GGTLA1
A_23_P166408	OSM
A_23_P166616	AGTR1
A_23_P166633	ITGB5
A_23_P166663	APPL1
A_23_P166674	HTR1F
A_23_P166823	TNNC1
A_23_P166826	DCP1A
A_23_P166884	GNAT1
A_23_P166899	DNAJB11
A_23_P166964	TFDP2
A_23_P166993	EPHB1
A_23_P167030	PTHR1
A_23_P167066	UGDH
A_23_P167067	UGDH
A_23_P167081	REST
A_23_P167093	IDUA
A_23_P167096	VEGFC
A_23_P167121	GABRA2
A_23_P167129	HHIP
A_23_P167182	LRAT
A_23_P167201	SEPSECS
A_23_P167212	QDPR
A_23_P167227	HADH
A_23_P167250	IL21
A_23_P167328	CD38
A_23_P16733	RALB
A_23_P167367	PITX2
A_23_P167389	CENTD3
A_23_P167417	CNOT6
A_23_P16743	MGAT5
A_23_P167468	PRLR
A_23_P167479	IL17B
A_23_P167497	EFNA5
A_23_P167509	CYFIP2
A_23_P167553	DHFR
A_23_P167595	UBE2B
A_23_P16762	PRPF40A
A_23_P167674	F12
A_23_P167692	MAPK9
A_23_P167805	B3GAT2
A_23_P167920	DLL1
A_23_P16798	PFN4
A_23_P167997	HIST1H2BG
A_23_P168014	HIST1H2AJ
A_23_P168062	DHX16
A_23_P168080	SKIV2L
A_23_P168259	ULBP2
A_23_P168266	TAAR9
A_23_P168276	TBPL1
A_23_P168288	IL22RA2
A_23_P168306	WASF1
A_23_P168339	MAS1
A_23_P168443	EPHB4
A_23_P168479	RALA
A_23_P168556	STX1A
A_23_P168567	GTF2I
A_23_P168598	PON1
A_23_P168651	CDK6
A_23_P168669	CROT
A_23_P168761	PTPRZ1
A_23_P168788	PLOD3
A_23_P168818	IMPA1
A_23_P168836	PTK2B
A_23_P168868	PTDSS1
A_23_P168898	RPS20
A_23_P168916	CA1
A_23_P168928	CYP11B1
A_23_P168993	ADRB3
A_23_P169030	TNFRSF10B
A_23_P169039	SNAI2
A_23_P169061	OPRK1
A_23_P169092	CYP7B1
A_23_P1691	MMP1
A_23_P169207	OR13C4
A_23_P169257	TNFSF8
A_23_P169331	TRAF2
A_23_P169351	SH3GL2
A_23_P169358	STX17
A_23_P169423	UBE2R2
A_23_P16944	SDC1
A_23_P169503	CEL
A_23_P16953	HTR2B
A_23_P169629	SHMT2
A_23_P169819	EPHA3
A_23_P169909	DGKI
A_23_P169966	DNAI2
A_23_P169993	ADCY8
A_23_P170037	MID1
A_23_P170058	PSMB2
A_23_P170072	KCNMB2
A_23_P170186	OPLAH
A_23_P170246	OCRL
A_23_P170273	SEC31A
A_23_P170301	CTSE
A_23_P170331	AP3M2
A_23_P170337	ALDH4A1
A_23_P170453	CST5
A_23_P170534	FUT7
A_23_P17065	CCL20
A_23_P170687	HSPBP1
A_23_P170857	IL1RAP
A_23_P17095	TFPI
A_23_P171034	NSDHL
A_23_P171054	ELK1
A_23_P171077	EBP
A_23_P171107	CCNB3
A_23_P171132	EDA2R
A_23_P171258	ABCB7
A_23_P171270	H2AFB2
A_23_P171324	L1CAM
A_23_P171388	TMSB4Y
A_23_P17163	HNRPA3
A_23_P17192	RAPGEF4
A_23_P17197	RAPGEF4
A_23_P17204	ANAPC1
A_23_P17330	UCKL1
A_23_P1740	NCAM1
A_23_P17481	SIGLEC1
A_23_P17522	NKX2-2
A_23_P17575	AHCY
A_23_P17593	CDH4
A_23_P17624	TIAM1
A_23_P17633	IFNAR1
A_23_P17655	KCNJ15
A_23_P17673	DNMT3L
A_23_P17706	IL17RA
A_23_P17724	SEPT5
A_23_P1775	DPAGT1
A_23_P17814	PLA2G3
A_23_P1782	CD82
A_23_P17821	PLA2G3
A_23_P17880	DNAL4
A_23_P17914	PNPLA3
A_23_P17998	HES1
A_23_P18017	CPA3
A_23_P18123	NLGN1
A_23_P18142	RPL32
A_23_P18152	ATP2B2
A_23_P18186	GNB4
A_23_P1819	OR8B8
A_23_P18196	RFC4
A_23_P18213	DNAH1
A_23_P1823	PAX6
A_23_P18246	XCR1
A_23_P18292	RPL14
A_23_P18294	RPL14
A_23_P1833	B3GAT1
A_23_P18342	EPHA6
A_23_P18372	B3GNT5
A_23_P18392	PRKCI
A_23_P18447	PPARGC1A
A_23_P18452	CXCL9
A_23_P18465	RFC1
A_23_P18505	GAB1
A_23_P18559	INPP4B
A_23_P18579	PTTG2
A_23_P18598	PI4K2B
A_23_P18604	LAP3
A_23_P1863	OR5AK2
A_23_P18662	TKTL2
A_23_P18672	GBA3
A_23_P18692	ADH5
A_23_P18713	ABCG2
A_23_P18755	SLC25A31
A_23_P18818	CNOT6
A_23_P18824	POLS
A_23_P18887	MCCC2
A_23_P18901	ATG12
A_23_P18913	OR2V2
A_23_P18931	MAN2A1
A_23_P18939	RASA1
A_23_P18966	P4HA2
A_23_P19020	SNCAIP
A_23_P1904	MS4A2
A_23_P19042	GABRB2
A_23_P19142	KCNMB1
A_23_P19192	LYPLA1
A_23_P19226	DSE
A_23_P19291	TUBB2A
A_23_P19313	TBP
A_23_P19348	CUL7
A_23_P19428	OR2J2
A_23_P19517	ITPR3
A_23_P19556	FUT9
A_23_P19576	SF3B5
A_23_P19590	VIL2
A_23_P19592	PGM3
A_23_P19624	BMP6
A_23_P19673	SGK
A_23_P19702	MAP3K7IP2
A_23_P19723	BMP5
A_23_P1973	KCNJ11
A_23_P1981	INS
A_23_P19894	AQP1
A_23_P19936	KDELR2
A_23_P19938	KDELR2
A_23_P1998	APBB1
A_23_P200015	AK5
A_23_P200030	FPGT
A_23_P200056	NADK
A_23_P200067	EPHB2
A_23_P200109	HS2ST1
A_23_P200126	MKNK1
A_23_P200160	CFH
A_23_P200199	TXNDC12
A_23_P200216	MAGOH
A_23_P200298	AGL
A_23_P200404	AK2
A_23_P200439	ADAR
A_23_P200443	SHC1
A_23_P20045	PEX1
A_23_P200560	CDC42
A_23_P2006	CNGA4
A_23_P20068	GRM3
A_23_P200707	ETNK2
A_23_P200710	PIK3C2B
A_23_P200728	FCGR3A
A_23_P200767	TROVE2
A_23_P200792	NOTCH2
A_23_P200829	SRGAP2
A_23_P200838	KMO
A_23_P200866	STMN1
A_23_P200930	MTR
A_23_P200936	MTR
A_23_P200940	PPIH
A_23_P200976	HYI
A_23_P200984	PTPRF
A_23_P200999	ST3GAL3
A_23_P20101	TAS2R4
A_23_P201022	PKLR
A_23_P201035	GBA
A_23_P201047	THBS3
A_23_P201059	UBQLN4
A_23_P20107	GSTK1
A_23_P201086	ARF1
A_23_P201097	GUK1
A_23_P201156	CADM3
A_23_P201160	CD1E
A_23_P201264	NMNAT1
A_23_P201279	UBE4B
A_23_P201376	SSX2IP
A_23_P20139	TAS2R3
A_23_P201400	PPOX
A_23_P201432	ADSS
A_23_P201461	PER3
A_23_P201483	MAPKAPK2
A_23_P201497	RASSF5
A_23_P201508	PFKFB2
A_23_P201538	JUN
A_23_P201547	NTNG1
A_23_P201551	VAV3
A_23_P201567	PRPF38B
A_23_P201587	SORT1
A_23_P201596	AMPD2
A_23_P201628	LAMC1
A_23_P201636	LAMC2
A_23_P201731	TRAF5
A_23_P201758	CD46
A_23_P201764	DHDDS
A_23_P201778	PTPN7
A_23_P201790	PPP1R12B
A_23_P201808	PPAP2B
A_23_P201918	ABCB10
A_23_P20196	ARPC1B
A_23_P201963	PARD3
A_23_P202	EPS15
A_23_P202156	NFKB2
A_23_P202199	SLK
A_23_P202206	GSTO2
A_23_P20225	RRM2B
A_23_P202258	TFAM
A_23_P202280	VCL
A_23_P202307	INPP5A
A_23_P202316	BUB3
A_23_P202334	FGFR2
A_23_P202345	C10orf22
A_23_P202374	COX15
A_23_P202388	SORBS1
A_23_P202390	SUV39H2
A_23_P202392	SUV39H2
A_23_P202448	CXCL12
A_23_P20248	MAP2K1
A_23_P202520	ABLIM1
A_23_P202658	GSTP1
A_23_P202667	ADRBK1
A_23_P20267	GDF6
A_23_P202823	CTTN
A_23_P202837	CCND1
A_23_P202905	TIRAP
A_23_P202918	KCNJ1
A_23_P202978	CASP1
A_23_P202988	AASDHPPT
A_23_P203009	CUL5
A_23_P203023	RDX
A_23_P20303	DPYS
A_23_P203030	DLAT
A_23_P203053	NCAM1
A_23_P20311	DPYS
A_23_P203120	CADM1
A_23_P203137	UBE4A
A_23_P20316	CA3
A_23_P203173	IL10RA
A_23_P203183	APOC3
A_23_P203191	APOA1
A_23_P203201	DDX6
A_23_P203215	BLR1
A_23_P203305	IMMP1L
A_23_P203318	FSHB
A_23_P20337	DPYSL2
A_23_P203406	GANAB
A_23_P203419	FADS1
A_23_P203463	TAF10
A_23_P203488	SMPD1
A_23_P203558	HBB
A_23_P203577	RPL27A
A_23_P203665	PHCA
A_23_P203716	NEU3
A_23_P203743	GAB2
A_23_P203790	OS9
A_23_P20384	LSM1
A_23_P203891	NCOR2
A_23_P203900	SCARB1
A_23_P20392	PSD3
A_23_P203933	ITPR2
A_23_P203972	FZD10
A_23_P204016	CACNB3
A_23_P204090	PTPN11
A_23_P204133	GALNT6
A_23_P204194	ABCC9
A_23_P204208	KLRD1
A_23_P204252	M6PR
A_23_P20427	RHOBTB2
A_23_P204277	H2AFJ
A_23_P204324	DNM1L
A_23_P204333	ALG10
A_23_P204380	GNPTAB
A_23_P204395	AACS
A_23_P204423	PPP1CC
A_23_P204427	PPP1CC
A_23_P204436	GIT2
A_23_P204448	ANAPC5
A_23_P204472	RPLP0
A_23_P204503	PRKAB1
A_23_P204541	BX648591
A_23_P204564	PPP1R12A
A_23_P204579	TDG
A_23_P20458	NPBWR1
A_23_P204581	TXNRD1
A_23_P20463	RAD21
A_23_P204630	NTN4
A_23_P204654	KITLG
A_23_P204696	CDKN1B
A_23_P204721	AQP2
A_23_P204736	GPD1
A_23_P204791	NOS1
A_23_P204850	RB1
A_23_P204879	CAB39L
A_23_P204980	UGCGL2
A_23_P205031	COL4A2
A_23_P205159	LMO7
A_23_P205177	F10
A_23_P205236	PPP2R5C
A_23_P205247	RCOR1
A_23_P205355	SERPINA5
A_23_P205549	MAX
A_23_P205567	PRKCH
A_23_P20566	TPM2
A_23_P205686	PSEN1
A_23_P205697	DLST
A_23_P205778	GNB5
A_23_P205828	TJP1
A_23_P205894	ACTC1
A_23_P205900	NTRK3
A_23_P205910	SLC24A1
A_23_P205913	SLC24A1
A_23_P205959	ALDH1A3
A_23_P205986	IGF1R
A_23_P206018	TPM1
A_23_P206022	ITGA11
A_23_P206041	MAN2A2
A_23_P206103	ULK3
A_23_P206107	ULK3
A_23_P206110	CYP1A2
A_23_P206113	CYP1A2
A_23_P206177	SNAP23
A_23_P206212	THBS1
A_23_P20622	CDC14B
A_23_P206359	CDH1
A_23_P206510	GLG1
A_23_P206532	PHKB
A_23_P206585	PRKCB1
A_23_P2066	APIP
A_23_P206628	SCNN1G
A_23_P206684	WWP2
A_23_P206733	CES1
A_23_P206776	TAT
A_23_P206788	AP1G1
A_23_P206806	ITGAL
A_23_P206819	HSD3B7
A_23_P206920	MYH11
A_23_P206945	ACOX1
A_23_P207014	RAD51C
A_23_P20704	IFNA10
A_23_P207058	SOCS3
A_23_P207106	CHRNB1
A_23_P207113	FGF11
A_23_P207125	NLGN2
A_23_P20713	C8G
A_23_P207131	MAP3K3
A_23_P207138	MAP3K3
A_23_P207160	GH2
A_23_P207170	CSH1
A_23_P207174	CSH1
A_23_P207194	GH1
A_23_P207201	CD79B
A_23_P207213	ALDH3A1
A_23_P207319	MAP3K14
A_23_P207367	STAT5A
A_23_P207371	G6PC
A_23_P207400	BRCA1
A_23_P207445	MAP2K6
A_23_P207456	CCL8
A_23_P207507	ABCC3
A_23_P207520	COL1A1
A_23_P207537	DUSP14
A_23_P207564	CCL4
A_23_P207582	CCL16
A_23_P207596	NF1
A_23_P207600	PSMD11
A_23_P207632	ATP2A3
A_23_P207648	CAMKK1
A_23_P207650	ACADVL
A_23_P207699	MAPT
A_23_P2077	OR4C3
A_23_P207719	GOSR2
A_23_P207742	THRA
A_23_P207766	ARHGDIA
A_23_P207842	RARA
A_23_P207896	CSNK1D
A_23_P207957	VAPA
A_23_P207999	PMAIP1
A_23_P208009	SEC11C
A_23_P208126	SERPINB5
A_23_P208132	BCL2
A_23_P20814	DDX58
A_23_P208167	FPRL2
A_23_P208265	RPS5
A_23_P208293	PVRL2
A_23_P20832	SPTAN1
A_23_P208334	PDE4A
A_23_P208358	RPL28
A_23_P208373	CYP2B6
A_23_P208422	F2RL3
A_23_P208516	LENG4
A_23_P20852	AUH
A_23_P208540	NDUFA3
A_23_P208595	LDLR
A_23_P208698	GYS1
A_23_P208706	BAX
A_23_P208737	FOXA3
A_23_P208768	FCAR
