probe	gene
A_23_P109913	CXCR6
A_23_P109928	PSMD6
A_23_P109934	HEMK1
A_23_P109950	ACVR2B
A_23_P109988	CD86
A_23_P110116	SH3BP2
A_23_P110122	CCNG2
A_23_P110167	MGST2
A_23_P110175	CTSO
A_23_P110184	SC4MOL
A_23_P110204	CXCL5
A_23_P110212	ACSL1
A_23_P110253	KIT
A_23_P110299	TACR3
A_23_P110304	CNOT6L
A_23_P110362	MAP2K1IP1
A_23_P110473	NAIP
A_23_P110492	MARCH6
A_23_P11051	THOC2
A_23_P110531	FST
A_23_P110557	UNC5A
A_23_P110606	MAML1
A_23_P110661	SKIV2L2
A_23_P110704	SLU7
A_23_P11071	PORCN
A_23_P110712	DUSP1
A_23_P110725	PRKAA1
A_23_P110791	CSF1R
A_23_P110811	COX7C
A_23_P110846	CNOT8
A_23_P110896	SLC17A5
A_23_P110941	GSTA4
A_23_P111000	PSMB9
A_23_P111020	SRF
A_23_P111037	HIST1H3A
A_23_P111041	HIST1H2BI
A_23_P111054	HIST1H2BB
A_23_P111088	OR2B2
A_23_P111092	OR2H1
A_23_P111112	VARS2
A_23_P111132	HSPA1A
A_23_P111171	B3GALT4
A_23_P111228	COQ3
A_23_P111260	NT5E
A_23_P111321	ARG1
A_23_P111381	ATG5
A_23_P111517	WBSCR17
A_23_P111531	GLI3
A_23_P111583	CD36
A_23_P111621	GTF2IRD1
A_23_P111657	SHH
A_23_P111662	ABCB5
A_23_P111701	GNG11
A_23_P111737	RAMP3
A_23_P111826	SPAM1
A_23_P111835	DLD
A_23_P11192	UBE2E3
A_23_P112026	INDO
A_23_P112061	HGSNAT
A_23_P112135	TRAM1
A_23_P112162	DGAT1
A_23_P112251	LOC552891
A_23_P112260	LOC552891
A_23_P112275	GABBR2
A_23_P112296	DBH
A_23_P112311	TRIM32
A_23_P11237	TAF1
A_23_P112429	RPL35
A_23_P112470	CCL21
A_23_P112478	NUDT2
A_23_P112481	AQP3
A_23_P112482	AQP3
A_23_P112596	ADK
A_23_P112646	ABO
A_23_P112652	CNOT10
A_23_P11279	ALG13
A_23_P112801	CHP
A_23_P112820	EDG3
A_23_P112825	LCMT1
A_23_P112859	CST1
A_23_P113005	EFNA1
A_23_P113026	PARN
A_23_P11309	PLXNA3
A_23_P113111	AR
A_23_P113204	FGF3
A_23_P113237	CRLF2
A_23_P113245	RBPJ
A_23_P113258	RASGRP1
A_23_P113283	ZMAT3
A_23_P113570	PDX1
A_23_P113572	CD19
A_23_P113656	TUBB4
A_23_P113701	PDGFA
A_23_P113716	HLA-C
A_23_P11372	HPRT1
A_23_P114057	SEMA4C
A_23_P114095	MBTPS2
A_23_P114164	UBQLN2
A_23_P114299	CXCR3
A_23_P114307	P2RY4
A_23_P114466	TBL1Y
A_23_P114626	SERPINC1
A_23_P114656	HDAC1
A_23_P114689	DDEFL1
A_23_P114707	H6PD
A_23_P114736	KCNJ10
A_23_P114740	CFHR1
A_23_P114774	PMVK
A_23_P114783	PARP1
A_23_P114808	MECR
A_23_P114857	PLA2G2E
A_23_P114903	HSPA6
A_23_P115021	ACTN2
A_23_P115118	BMP8A
A_23_P115161	DARC
A_23_P115190	NGFB
A_23_P115261	AGT
A_23_P115286	BCL10
A_23_P115366	CMPK
A_23_P115407	GSTM1
A_23_P11543	FUCA1
A_23_P115444	TNFSF18
A_23_P115460	RPL22
A_23_P115563	OR2C3
A_23_P115636	TRDMT1
A_23_P115652	SFTPA1
A_23_P115699	PSD
A_23_P115885	MINPP1
A_23_P115919	PHYH
A_23_P115998	SPI1
A_23_P116007	MAPK8IP1
A_23_P116013	SFRS2B
A_23_P116016	SFRS2B
A_23_P116037	TM7SF2
A_23_P116081	RNASEH2C
A_23_P116114	PDE3B
A_23_P116123	CHEK1
A_23_P116249	GRIK4
A_23_P116286	AMPD3
A_23_P116371	MS4A1
A_23_P116614	ME3
A_23_P116640	OR51B2
A_23_P116694	RPS26
A_23_P11674	PTGFR
A_23_P116741	PIWIL1
A_23_P116765	LALBA
A_23_P116829	UBE2N
A_23_P11685	PLA2G4A
A_23_P116898	A2M
A_23_P117068	SNRPF
A_23_P117095	FGF23
A_23_P117104	AQP5
A_23_P117146	PRDM4
A_23_P117157	SUCLA2
A_23_P117175	PARP4
A_23_P117225	ERCC5
A_23_P117238	CARS2
A_23_P117261	RXFP2
A_23_P117286	CLN5
A_23_P117298	F7
A_23_P117437	IL25
A_23_P117494	MTHFD1
A_23_P11752	OPRD1
A_23_P117580	ENTPD5
A_23_P117602	GZMB
A_23_P117635	ATXN3
A_23_P117662	HDC
A_23_P117721	RPS17
A_23_P117727	MTFMT
A_23_P11787	WNT4
A_23_P117873	CHRM5
A_23_P117955	APRT
A_23_P118	EXTL2
A_23_P118002	UQCRC2
A_23_P11806	COL11A1
A_23_P118065	HSD17B2
A_23_P118095	RPL3L
A_23_P118105	NDUFB10
A_23_P118158	HS3ST2
A_23_P118174	PLK1
A_23_P118234	CES7
A_23_P118313	GABARAPL2
A_23_P118353	SRP68
A_23_P11841	ATP2B4
A_23_P118427	MAP2K3
A_23_P118544	CLTC
A_23_P11859	HSD17B7
A_23_P118615	ABCA8
A_23_P118643	EIF4E
A_23_P118649	EIF4E
A_23_P11874	MPZL1
A_23_P118749	DERL2
A_23_P118815	BIRC5
A_23_P118888	PAFAH1B1
A_23_P118946	B4GALT6
A_23_P118967	LAMA1
A_23_P119015	SERPINB13
A_23_P119102	VASP
A_23_P119130	RPS19
A_23_P119141	KEAP1
A_23_P119202	CD70
A_23_P119266	DNASE2
A_23_P119295	ECSIT
A_23_P119390	EHD2
A_23_P119395	GIPR
A_23_P119502	EDG6
A_23_P119526	AP3D1
A_23_P119535	EFNA2
A_23_P119562	CFD
A_23_P119583	PDE4C
A_23_P119763	ABCG5
A_23_P119812	GPD2
A_23_P119835	NLRC4
A_23_P119899	EPHA4
A_23_P1199	NUDT5
A_23_P119916	WNT6
A_23_P11995	PRDX1
A_23_P120125	COLEC11
A_23_P120182	NDUFA10
A_23_P120281	EDAR
A_23_P120414	YWHAB
A_23_P120566	RRBP1
A_23_P120594	ACSS1
A_23_P1206	RPS24
A_23_P12062	TRIT1
A_23_P120629	ASIP
A_23_P120660	RPS21
A_23_P120667	JAM2
A_23_P120694	KCNE2
A_23_P120812	IGLL1
A_23_P120822	UPB1
A_23_P120845	XBP1
A_23_P120863	GAL3ST1
A_23_P120883	HMOX1
A_23_P120899	CSF2RB
A_23_P120933	ATF4
A_23_P120941	ATF4
A_23_P120942	XRCC6
A_23_P120947	XRCC6
A_23_P121051	PCCB
A_23_P121082	GBE1
A_23_P121182	HACL1
A_23_P121253	TNFSF10
A_23_P12128	TSHB
A_23_P121340	XYLB
A_23_P121374	SEMA5B
A_23_P121386	IFT57
A_23_P12140	RPL5
A_23_P121423	CDC25A
A_23_P121459	THPO
A_23_P121499	WFS1
A_23_P121564	GUCY1B3
A_23_P121586	HERC3
A_23_P121596	PPBP
A_23_P121614	MUC7
A_23_P121657	HS3ST1
A_23_P121676	CXXC4
A_23_P12168	PSMD4
A_23_P121695	CXCL13
A_23_P121783	SRD5A2L
A_23_P121806	ENOPH1
A_23_P121813	ENPP6
A_23_P12189	DFFA
A_23_P121987	TSLP
A_23_P122001	MSH3
A_23_P122041	PPP2CA
A_23_P122077	GCNT4
A_23_P122134	NMUR2
A_23_P122174	XRCC4
A_23_P122197	CCNB1
A_23_P122228	NDUFS6
A_23_P122304	HDAC2
A_23_P12231	CENTB5
A_23_P122414	GUCA1A
A_23_P122579	DAXX
A_23_P122724	VNN2
A_23_P122876	TAF6
A_23_P122924	INHBA
A_23_P122937	ELMO1
A_23_P122976	GNAI1
A_23_P123022	YWHAG
A_23_P123060	ITGB8
A_23_P123071	CAV2
A_23_P123096	GNGT1
A_23_P123112	ABCB4
A_23_P123133	OGDH
A_23_P123276	FZD6
A_23_P12329	APH1A
A_23_P123330	RPL30
A_23_P123424	CHRNB3
A_23_P12343	GSTM3
A_23_P123478	PDE7A
A_23_P123539	PPP2R2A
A_23_P123563	RPS6
A_23_P123582	IPPK
A_23_P123596	GLDC
A_23_P123608	JAK2
A_23_P123622	NPR2
A_23_P123794	CEL
A_23_P123853	CCL19
A_23_P123905	EXOSC3
A_23_P12392	PTPRC
A_23_P123943	TGFBR1
A_23_P123974	DTYMK
A_23_P124003	P2RX2
A_23_P124095	CALML5
A_23_P124108	ITGAM
A_23_P124122	PXMP2
A_23_P124164	ISY1
A_23_P124224	DHX8
A_23_P124300	BCMO1
A_23_P124327	NSD1
A_23_P12435	PPP1R12B
A_23_P124417	BUB1
A_23_P124456	PDE4D
A_23_P124534	RXFP1
A_23_P124542	CR2
A_23_P124570	FER
A_23_P124642	RASGRP1
A_23_P124733	COQ2
A_23_P124742	CHKA
A_23_P124837	LRP1
A_23_P124855	ZCCHC7
A_23_P125001	RAC3
A_23_P125056	BAI1
A_23_P125067	GABRA1
A_23_P125107	HLA-B
A_23_P125164	FHIT
A_23_P125171	FHIT
A_23_P125204	OR10G8
A_23_P125278	CXCL11
A_23_P125286	OR52A1
A_23_P1254	GSTO1
A_23_P125420	ATP5I
A_23_P125423	C1R
A_23_P125435	GABRB1
A_23_P125451	PTPRC
A_23_P125475	GABRQ
A_23_P125519	RPS4X
A_23_P125596	RPS6KA6
A_23_P125618	GABRA3
A_23_P125656	DDX3X
A_23_P12572	CASP7
A_23_P125829	PGK1
A_23_P125977	C1QC
A_23_P125990	E2F2
A_23_P126031	OR10J5
A_23_P126057	SCP2
A_23_P126100	INADL
A_23_P126103	CTH
A_23_P126186	DEGS1
A_23_P126197	SFRS4
A_23_P126218	CSF3R
A_23_P126241	EIF4G3
A_23_P126278	CHIT1
A_23_P126291	SNRPE
A_23_P126298	FCGR3B
A_23_P126313	SAC
A_23_P126393	SETDB1
A_23_P126398	SETDB1
A_23_P126474	SSR2
A_23_P126540	ADORA3
A_23_P126623	PGD
A_23_P126677	DNASE2B
A_23_P126735	IL10
A_23_P126782	F3
A_23_P126790	SARS
A_23_P12680	PSAP
A_23_P126803	ARPC5
A_23_P126836	TNFSF4
A_23_P126844	TNFRSF25
A_23_P126899	PEX11B
A_23_P126908	TNFRSF14
A_23_P127013	TCF7L2
A_23_P127054	PANK1
A_23_P127068	SEMA4G
A_23_P127117	CCDC6
A_23_P127128	DNAJC1
A_23_P127140	RAB11FIP2
A_23_P127175	SAR1A
A_23_P127195	PRPF18
A_23_P127231	FRAT1
A_23_P127233	SMNDC1
A_23_P127288	IL2RA
A_23_P127322	NODAL
A_23_P12733	H2AFY2
A_23_P127339	PI4KII
A_23_P127353	NDUFV1
A_23_P127367	POLD4
A_23_P127385	MYBPC3
A_23_P127394	CRY2
A_23_P127418	MTNR1B
A_23_P127426	TM7SF2
A_23_P127438	FAU
A_23_P12746	MRC1L1
A_23_P127460	SIPA1
A_23_P127475	CCS
A_23_P127495	BBOX1
A_23_P127525	ETS1
A_23_P127579	PTS
A_23_P127584	NNMT
A_23_P127627	DGKZ
A_23_P127642	ARHGEF12
A_23_P127662	OR8D1
A_23_P12767	CYP2C9
A_23_P127684	OR5F1
A_23_P127721	P2RX3
A_23_P12784	FRAT2
A_23_P127879	BET1L
A_23_P127891	BDNF
A_23_P127926	WEE1
A_23_P127957	P4HA3
A_23_P127978	B3GNT6
A_23_P128023	OR51B4
A_23_P128036	MARS
A_23_P128067	RPL41
A_23_P128084	ITGA7
A_23_P128094	ABCB9
A_23_P128147	TUBA1B
A_23_P128154	TUBA1C
A_23_P128161	TUBA1C
A_23_P128201	NCKAP1L
A_23_P128215	SOCS2
A_23_P128230	NR4A1
A_23_P128263	PRB1
A_23_P128281	KLRC3
A_23_P128319	ATP2B1
A_23_P128323	SCNN1A
A_23_P128447	LRRK2
A_23_P128503	IL26
A_23_P128624	CARS2
A_23_P12866	PSTK
A_23_P128698	SPRY2
A_23_P128706	DYNC1H1
A_23_P128728	ARG2
A_23_P128744	BDKRB1
A_23_P128817	PCK2
A_23_P12884	GRK5
A_23_P128930	PSMC6
A_23_P128967	ALDH6A1
A_23_P129031	ATXN3
A_23_P129058	USP8
A_23_P129064	GATM
A_23_P129101	HEXA
A_23_P129128	TARSL2
A_23_P129157	NEIL1
A_23_P129169	CYP11A1
A_23_P1292	ERCC6
A_23_P129209	IDH2
A_23_P129221	FAH
A_23_P129246	PLEKHQ1
A_23_P129322	IVD
A_23_P129496	CDH5
A_23_P129556	IL4R
A_23_P12965	FUT4
A_23_P129665	ITGAD
A_23_P129678	SETD1A
A_23_P129738	LLGL2
A_23_P129786	SREBF1
A_23_P12989	PRDX5
A_23_P129896	ALDH3A2
A_23_P129956	DUSP3
A_23_P130027	EPN3
A_23_P130064	SNF8
A_23_P130149	ENO3
A_23_P130158	WNT3
A_23_P130169	TBKBP1
A_23_P130194	PYCR1
A_23_P130259	GUCY2D
A_23_P130266	LLGL1
A_23_P130281	OR1A2
A_23_P130304	TXNL4A
A_23_P13031	CTSW
A_23_P130316	PIAS2
A_23_P130418	NDUFV2
A_23_P130429	ROCK1
A_23_P130488	ERCC2
A_23_P130547	OR7D4
A_23_P130961	ELA2
A_23_P131111	SLC27A1
A_23_P131149	ORC4L
A_23_P131289	CHPF
A_23_P131308	CYP27A1
A_23_P131363	NDUFS1
A_23_P131365	NDUFS1
A_23_P131383	FANCL
A_23_P131614	COL6A3
A_23_P131626	ASCC3L1
A_23_P131646	RPIA
A_23_P131653	PIGF
A_23_P131723	YWHAQ
A_23_P131747	KIDINS220
A_23_P131825	TNNC2
A_23_P13183	EXT2
A_23_P131846	SNAI1
A_23_P131866	AURKA
A_23_P131924	ADRA1D
