probe	gene
A_23_P203406	GANAB
A_23_P203419	FADS1
A_23_P20427	RHOBTB2
A_23_P204436	GIT2
A_23_P204503	PRKAB1
A_23_P204564	PPP1R12A
A_23_P204696	CDKN1B
A_23_P204736	GPD1
A_23_P205159	LMO7
A_23_P205247	RCOR1
A_23_P205894	ACTC1
A_23_P206110	CYP1A2
A_23_P206212	THBS1
A_23_P206510	GLG1
A_23_P206684	WWP2
A_23_P206920	MYH11
A_23_P207058	SOCS3
A_23_P207319	MAP3K14
A_23_P207400	BRCA1
A_23_P207564	CCL4
A_23_P20814	DDX58
A_23_P20832	SPTAN1
A_23_P208900	SEMA6B
A_23_P209246	GLI2
A_23_P209288	CUL3
A_23_P209408	CASP10
A_23_P209430	ALS2
A_23_P209449	FZD7
A_23_P209944	RETSAT
A_23_P210176	ITGA6
A_23_P210425	MYL9
A_23_P210763	JAG1
A_23_P211363	GNAZ
A_23_P211878	FLNB
A_23_P211926	WNT5A
A_23_P212179	HRH1
A_23_P212397	LARS2
A_23_P212617	TFRC
A_23_P212749	HD
A_23_P21316	PRUNE
A_23_P213706	IL4
A_23_P21382	LAMB2
A_23_P213944	HBEGF
A_23_P214080	EGR1
A_23_P214222	MARCKS
A_23_P214638	EHMT2
A_23_P214821	EDN1
A_23_P21548	ARHGAP10
A_23_P215634	IGFBP3
A_23_P215790	EGFR
A_23_P216199	PPP1R3B
A_23_P216489	GNE
A_23_P216966	PTGS1
A_23_P217339	PRKX
A_23_P217411	SMC1A
A_23_P217475	IDS
A_23_P217820	DHCR24
A_23_P218002	PRG2
A_23_P218058	KLRC4
A_23_P218295	VPS4A
A_23_P218375	ITGAE
A_23_P21853	AP2A2
A_23_P218646	TNFRSF6B
A_23_P218892	EIF4G1
A_23_P219013	ABCC10
A_23_P219207	HUWE1
A_23_P22232	KLRC2
A_23_P23194	PINK1
A_23_P23303	EXO1
A_23_P23947	MAP3K8
A_23_P24104	PLAU
A_23_P24129	DKK1
A_23_P2431	C3AR1
A_23_P24444	DHCR7
A_23_P24594	HSPA8
A_23_P24870	CD44
A_23_P24903	P2RY2
A_23_P2492	C1S
A_23_P250035	SDHA
A_23_P250404	RAD50
A_23_P250800	ST3GAL6
A_23_P250904	UBQLN1
A_23_P250910	UBQLN1
A_23_P251031	IL13
A_23_P251855	SLC12A7
A_23_P252075	KIAA0828
A_23_P252163	DAPK1
A_23_P252306	ID1
A_23_P252541	RAB7B
A_23_P252817	SST
A_23_P253068	ANAPC2
A_23_P253221	ARHGEF4
A_23_P254340	RPN1
A_23_P255011	UGCGL1
A_23_P255444	DAPP1
A_23_P25559	ABCC4
A_23_P255785	NCK1
A_23_P257503	HERC1
A_23_P258246	DDB1
A_23_P258531	PHKA1
A_23_P25913	DNAL1
A_23_P259141	ZBP1
A_23_P2601	HSP90B1
A_23_P26325	CCL17
A_23_P26457	HBA2
A_23_P26865	MYH3
A_23_P26945	NAGLU
A_23_P2705	P2RY5
A_23_P27346	SMAD4
A_23_P27472	ATP1A3
A_23_P27721	CARD8
A_23_P27917	OR10H1
A_23_P28334	IL18RAP
A_23_P28733	RBL1
A_23_P28953	DNMT3B
A_23_P29773	LAMP3
A_23_P30162	MFSD8
A_23_P302060	IFNE1
A_23_P30294	CDO1
A_23_P30363	P4HA2
A_23_P303783	LDHAL6A
A_23_P3038	GPX2
A_23_P304446	PHKG1
A_23_P304897	BDKRB2
A_23_P30495	HMGCR
A_23_P306148	PML
A_23_P30655	NFKBIE
A_23_P308673	TAOK2
A_23_P308800	GLS
A_23_P310956	COL6A2
A_23_P312863	TUBB2C
A_23_P31323	ACTB
A_23_P313512	DCP1B
A_23_P314526	FLOT1
A_23_P315364	CXCL2
A_23_P316381	ACOX3
A_23_P319617	CHST7
A_23_P321855	ARHGEF7
A_23_P322	EFNA4
A_23_P32707	ESPL1
A_23_P329593	SEC24A
A_23_P331670	PYGB
A_23_P333735	MAD1L1
A_23_P334021	IGF2R
A_23_P334271	BC069781
A_23_P334608	GUSB
A_23_P334664	PML
A_23_P335848	GIT2
A_23_P337800	IL29
A_23_P338479	CD274
A_23_P34045	EDA
A_23_P343411	AGRN
A_23_P345183	NMNAT2
A_23_P345887	AF445027
A_23_P34606	FRAP1
A_23_P34628	GTF2B
A_23_P34700	TNNT2
A_23_P3483	CACNA1H
A_23_P34835	LMNA
A_23_P349463	LOC63928
A_23_P351679	TK2
A_23_P353316	SMURF1
A_23_P35414	PPP1R3C
A_23_P35427	BTRC
A_23_P355471	TBXA2R
A_23_P35564	SEC31B
A_23_P35609	UROS
A_23_P357147	WWP2
A_23_P358944	PML
A_23_P359245	MET
A_23_P362415	UBE2B
A_23_P363936	HSPA4L
A_23_P366312	SP1
A_23_P367676	SIN3A
A_23_P367899	EPOR
A_23_P368886	CHSY-2
A_23_P369316	VANGL1
A_23_P371266	DNM3
A_23_P372334	CCDC12
A_23_P373619	IL28B
A_23_P37560	PEX11A
A_23_P376488	TNF
A_23_P377197	MRAS
A_23_P377664	ALS2
A_23_P37825	SPIRE2
A_23_P37856	HBA1
A_23_P37892	GPT2
A_23_P379054	CLDN19
A_23_P379475	DHCR24
A_23_P381954	EPOR
A_23_P38219	PRPF8
A_23_P383278	PYCRL
A_23_P38346	LGP2
A_23_P38427	RAB11FIP4
A_23_P384499	KIAA1303
A_23_P385771	PAOX
A_23_P387312	AK091978
A_23_P387374	HSD17B1
A_23_P39386	HCST
A_23_P394605	SEC24A
A_23_P395033	DTX2
A_23_P396858	FZD8
A_23_P397455	ACVR1C
A_23_P397999	FZD5
A_23_P398460	HK2
A_23_P39955	ACTG2
A_23_P399851	GANAB
A_23_P40049	CAD
A_23_P401568	MAT2A
A_23_P402254	GPLD1
A_23_P402604	PFAS
A_23_P402610	PFAS
A_23_P403424	PLA2G4B
A_23_P405794	NAGS
A_23_P405815	PYGM
A_23_P406187	NAGS
A_23_P406508	PDE1C
A_23_P407565	CX3CR1
A_23_P40847	CHST2
A_23_P408768	DOT1L
A_23_P408955	E2F2
A_23_P408996	MBOAT1
A_23_P409438	IL28A
A_23_P410408	OR7D2
A_23_P41128	PCAF
A_23_P412389	FGF18
A_23_P41314	F11
A_23_P414793	CP
A_23_P419850	TAF1L
A_23_P420209	GCNT3
A_23_P422193	SUV39H1
A_23_P42322	COL11A2
A_23_P425304	SUFU
A_23_P42565	HTR5A
A_23_P426292	MAPK14
A_23_P426305	AOC3
A_23_P427075	CTNS
A_23_P429461	FUK
A_23_P430044	SUV420H2
A_23_P431179	HIST1H4A
A_23_P431933	CAMKK1
A_23_P433785	P2RX5
A_23_P43810	LTBP1
A_23_P43988	DPYD
A_23_P44037	ACTG1
A_23_P44105	LAT
A_23_P44132	FASN
A_23_P44643	ANAPC7
A_23_P45185	FIGF
A_23_P45875	TPR
A_23_P46369	RAB13
A_23_P46549	F13B
A_23_P46618	PLXNA2
A_23_P46819	BTRC
A_23_P46829	FGF8
A_23_P46928	PFKP
A_23_P47735	TNFRSF19L
A_23_P47924	PTPRR
A_23_P48358	PCCA
A_23_P48416	DIS3
A_23_P48691	ARF6
A_23_P500034	GLI2
A_23_P500464	COL2A1
A_23_P500844	PDE5A
A_23_P500936	FOXA2
A_23_P501754	CSF3
A_23_P501822	JUP
A_23_P502047	CHRD
A_23_P502520	IL4I1
A_23_P50456	POLD1
A_23_P51291	PARS2
A_23_P51699	ARHGEF2
A_23_P51787	AMPD1
A_23_P51926	PTAFR
A_23_P52311	TAF5
A_23_P52373	NDST2
A_23_P52978	PRPF19
A_23_P53039	LDHC
A_23_P53198	DGAT2
A_23_P53226	CBL
A_23_P53370	RND1
A_23_P5441	ABCB6
A_23_P54918	LDHD
A_23_P55123	COX10
A_23_P55190	EFTUD2
A_23_P55251	ITGA3
A_23_P55342	DVL2
A_23_P571	SLC2A1
A_23_P57497	MYH9
A_23_P57667	PLXNA1
A_23_P59418	NRF1
A_23_P59691	PAX4
A_23_P60180	ABL1
A_23_P60240	PIGO
A_23_P60627	ALOX15B
A_23_P60718	ALG12
A_23_P60977	LAT
A_23_P61688	SLC12A7
A_23_P61810	BAIAP2
A_23_P64611	P2RY6
A_23_P64762	EEA1
A_23_P64860	SELPLG
A_23_P64990	RAD52
A_23_P654	ZBTB17
A_23_P65918	ITPKA
A_23_P65996	CYLD
A_23_P6624	UMPS
A_23_P66306	ALG1
A_23_P66319	BCAR1
A_23_P66328	ACSM2
A_23_P66355	ITGB4
A_23_P6746	IQSEC1
A_23_P67529	KCNN4
A_23_P67661	COX7A1
A_23_P67864	ADCY3
A_23_P68155	IFIH1
A_23_P69068	PLXNA1
A_23_P69683	SEC24B
A_23_P69988	RARS
A_23_P70007	HMMR
A_23_P70148	NNT
A_23_P70161	ITGA2
A_23_P71037	IL6
A_23_P71774	IFNB1
A_23_P71810	BAAT
A_23_P72462	ATP2A1
A_23_P72737	IFITM1
A_23_P73429	HCLS1
A_23_P74278	PDE4B
A_23_P74852	PIGC
A_23_P75647	HYOU1
A_23_P75921	TRAF6
A_23_P7596	MYO10
A_23_P76071	B3GNT4
A_23_P76159	EEA1
A_23_P76312	GUCY2C
A_23_P76529	ITGB7
A_23_P78018	ABCA5
A_23_P78037	CCL7
A_23_P78108	ALDOC
A_23_P78405	LIPG
A_23_P7873	MCM3
A_23_P78944	AMH
A_23_P78980	B3GNT3
A_23_P79251	EHD3
A_23_P79398	IL1R2
A_23_P80062	TAF4
A_23_P80342	MAP3K7IP1
A_23_P81590	PDE6A
A_23_P82249	ABCB8
A_23_P8241	FBXO5
A_23_P82738	RAD54B
A_23_P83045	VCP
A_23_P83159	KLHL9
A_23_P84448	TUBA4A
A_23_P8452	LFNG
A_23_P84849	CACNA1B
A_23_P85024	ARHGEF6
A_23_P86012	LAMB3
A_23_P86470	CH25H
A_23_P86599	DMBT1
A_23_P86900	B3GNT1
A_23_P86917	FADD
A_23_P87104	OR5T2
A_23_P87513	ATP6V0A2
A_23_P87732	POLR3B
A_23_P88119	HSPH1
A_23_P88810	MLYCD
A_23_P88817	MLYCD
A_23_P89249	ERBB2
A_23_P89431	CCL2
A_23_P89780	LAMA3
A_23_P91390	THBD
A_23_P9166	TLN1
A_23_P91943	IL12A
A_23_P92042	ITPR1
A_23_P92082	TKT
A_23_P92202	GMPPB
A_23_P92275	GPR156
A_23_P9232	GCNT1
A_23_P92499	TLR2
A_23_P93027	FGF18
A_23_P93302	GABBR1
A_23_P93562	SESN1
A_23_P94030	LAMB1
A_23_P9415	ACO1
A_23_P9416	ACO1
A_23_P94230	LY96
A_23_P94275	DKK4
A_23_P94563	IFNA5
A_23_P95417	TNFRSF10D
A_23_P95788	PDE6G
A_23_P9603	PRKDC
A_23_P96568	FLNA
A_23_P96985	PSEN2
A_23_P97112	SELE
A_23_P97309	CASP9
A_23_P97423	UBE2Q1
A_23_P97562	CYP4A11
A_23_P9869	CNDP1
A_23_P9883	NLRP3
A_24_P102343	EPN3
A_24_P102821	PTAFR
A_24_P105501	ENO1
A_24_P105564	PRKAB2
A_24_P107859	SPRED1
A_24_P108242	GOSR2
A_24_P108311	NEDD4L
A_24_P110799	LSS
A_24_P115183	CLDN4
A_24_P115990	AMHR2
A_24_P116571	NAGPA
A_24_P116871	TXNL4A
A_24_P119745	FN1
A_24_P122137	LIF
A_24_P123616	HSPA1A
A_24_P127828	VCP
A_24_P128145	ATF2
A_24_P128219	CHAT
A_24_P129277	NOD1
A_24_P131236	SV2A
A_24_P131589	CD86
A_24_P133542	PML
A_24_P139993	CASP10
A_24_P140608	HBEGF
A_24_P142118	THBS1
A_24_P145653	MAP3K6
A_24_P146670	SLK
A_24_P147407	LYK5
A_24_P148503	FZD5
A_24_P152188	PRICKLE2
A_24_P152398	P53AIP1
A_24_P153840	FGD3
A_24_P156113	EHD2
A_24_P156490	KCNMA1
A_24_P156781	PIK3R3
A_24_P157926	TNFAIP3
A_24_P160088	PDXK
A_24_P162718	LMNA
A_24_P164549	RAB11FIP4
A_24_P166527	TNFAIP3
A_24_P166663	CDK6
A_24_P172990	AARS
A_24_P173124	FLCN
A_24_P173727	PEX10
A_24_P174613	FBXW7
A_24_P179569	LAMA3
A_24_P180225	HD
A_24_P18190	HSPA5
A_24_P182494	DUSP10
A_24_P183150	CXCL3
A_24_P188071	TUBA1C
A_24_P192301	SEMA3A
A_24_P192994	FADS1
A_24_P193570	CNOT1
A_24_P196851	TLN1
A_24_P197196	ABCB6
A_24_P198598	PML
A_24_P200000	STEAP3
A_24_P201064	LOC286044
A_24_P201153	TJP2
A_24_P20292	B3GNT7
A_24_P20607	CXCL11
A_24_P206776	CRYAB
A_24_P207139	PML
A_24_P207995	L1CAM
A_24_P2093	XAB2
A_24_P210637	CHST14
A_24_P210829	NME4
A_24_P22079	FOXO1
A_24_P227831	ABCC1
A_24_P227993	BC064492
A_24_P233488	LIF
A_24_P237036	TNFSF14
A_24_P237175	CST2
A_24_P237559	LNPEP
A_24_P240487	PLG
A_24_P242440	B4GALT2
A_24_P243329	ITGA2
A_24_P244162	PI4KII
A_24_P244356	NLRX1
A_24_P247879	PIGG
A_24_P24819	AGRN
A_24_P25054	RP11-78J21.1
A_24_P251661	KCNMB3
A_24_P251764	CXCL3
A_24_P253755	PIGL
A_24_P255524	CALD1
A_24_P257416	CXCL2
A_24_P258235	OR5L2
A_24_P261169	SEMA4D
A_24_P261259	PFKFB3
A_24_P261470	NRXN2
A_24_P269779	CHST3
A_24_P276102	RBL1
A_24_P278637	FADD
A_24_P283189	CD14
A_24_P283834	DRD2
A_24_P285032	IDS
A_24_P287129	HSPA8
A_24_P287189	TOLLIP
A_24_P29401	PIK3R1
A_24_P294233	GLS
A_24_P295010	SERPINB9
A_24_P295412	VCP
A_24_P29665	CYCS
A_24_P29966	TRIM32
